key,title,tip,tip2
hantankeikai,氾濫警戒情報,<p>【分類】指定河川洪水予報</p>【発表基準】一定時間後、氾濫危険水位（レベル4水位）に到達すると見込まれる。あるいは、避難判断水位（レベル3水位）に到達し、さらに水位の上昇が見込まれる<p>【警報レベル】警報レベル3相当の情報</p>氾濫注意情報の1段階上の警戒レベルの情報
hinankankoku,避難勧告,<p>【分類】避難情報</p><p>・避難情報について</p>避難情報は、①「防災気象情報の切迫度の高まり」②「災害リスクのある区域等」との両方が重なり合った場所に、①の防災気象情報に対応する警戒レベルの避難情報を発令することが基本<p>【発令対象】発令される代表的な地区の単位は「旧市町村界単位」及び「町丁目単位・学区単位」</p><p>避難情報に関する詳細情報は内閣府-防災情報のページ<a href="http://www.bousai.go.jp/oukyu/hinanjouhou/r3_hinanjouhou_guideline/" target="_blank" rel="noopener noreferrer">内閣府-防災情報のページ</a>や首相官邸のホームページから得られる<a href="https://www.kantei.go.jp/jp/headline/bousai/hinan.html" target="_blank" rel="noopener noreferrer">（気象庁-知識・解説-指定河川洪水予報）</a>リアルタイム情報は各自治体のHPなどから得られる．<p>台風19号時の情報は情報メニューから参照</p><p>・<b>避難勧告</b>について<p>【警戒レベル】警戒レベル4</p>令和3年5月により警戒レベル4の避難情報は<b>避難指示（対象地域住民のうち危険な場所にいる人は全員避難）に一本化</b>された．</p><p></p>
hanrankiken,氾濫危険情報,<p>【分類】指定河川洪水予報</p>【発表基準】氾濫危険水位（レベル4水位）に到達した場合に発表<p>【警報レベル】警報レベル4相当の情報 </p>氾濫注意情報の2段階上の警戒レベルの情報.氾濫警戒情報の1段階上の警戒レベルの情報
hanranhassei,氾濫発生情報,<p>【分類】指定河川洪水予報</p>【発表基準】氾濫の発生<p>【警報レベル】警報レベル5相当の情報 警戒レベル5は災害が発生又は切迫している状況 </p>氾濫危険情報の1段階上の警戒レベルの情報.氾濫警戒情報の2段階上の警戒レベルの情報
saigaihassei,災害発生情報,※<b>災害発生情報</b>　令和3年5月により<b>「緊急安全確保」</b>に名称変更された<p>【分類】避難情報</p><p>【警戒レベル】警戒レベル5 </p>
hinansiji,避難指示(緊急),＊令和3年5月「避難指示」への一本化により「避難指示」に名称変更<p>【分類】避難情報【警戒レベル】警戒レベル4 </p>





